Film,Type,Distributor/Studio,Prod 1,Prod 2,Prod 3,Prod 4,Prod 5,Prod 6,,Gross (dom.) $,Date,CPI at,today,CPI Oct. 2015,IMDB,Open wkd,OP Wk (Real),Days avail.,Theatres (peak),Notes,Link,,
101 Dalmatians (1996),L,BV,Walt Disney Pictures,Wizzer,Great Oaks,,,,,136189294,01/11/1996,159,204230702,,5.6,33504025,,,2794,,,,
The Rescuers ,A,Buena Vista,Walt Disney Prod.,,,,,,,29000000,01/06/1977,61,204193079,,6.9,,,,,"Re-issue: 1983, 1989",http://www.boxofficemojo.com/movies/?page=releases&id=rescuers.htm,,
The Rock,,BV,,,,,,,,134069511,01/07/1996,157,203100792,,,25069525,,,2392,,,,
Cinderella 2015,,,,,,,,,,201151353,01/03/2015,236,202615781,,7.1,67877361,,189,3848,,,,
Absent-Minded Professor,L,Buena Vista,Walt Disney Prod.,,,,,,,25381407,01/03/1961,30,202572587,,6.8,,,,,,,http://www.imdb.com/title/tt0054594/?ref_=nv_sr_2,http://www.the-numbers.com/movie/Absent-Minded-Professor-The#tab=summary
Cars 2,,Walt Disney Studios,Walt Disney Pic./Pixar,,,,,,,191452396,01/07/2011,226,201550336,,6.3,66135507,,175,4115,,,,
Parent Trap,L,Buena Vista,Walt Disney Prod.,,,,,,,25150385,01/06/1961,30,200728767,,7.1,,,,,,,,http://www.the-numbers.com/movie/Parent-Trap-The#tab=summary
The Little Mermaid,A,Buena Vista Pics.,Walt Disney Pictures,Walt Disney Feature Animation,Silver Screen Partners IV,,,,,84355863,01/11/1989,126,199395557,,7.6,6031914,,,1533,Re-issue: 1997,,,
Wreck-It Ralph,,BV,,,,,,,,189422889,01/02/2012,228,197888814,,,49038712,,,3752,,,,
Wild Hogs,,BV,Touch Stone,Tollin/Robbins Productions,,,,,,168273550,01/02/2007,204,196668507,,,39699023,,,3287,,,,
Lilo & Stitch,,Walt Disney Studios Motion Pictures,Walt Disney Feature Animation,,,,,,,145794338,01/06/2002,180,192748381,,7.2,35260212,,,3191,,,,
Fantasia,H,,Walt Disney Prod.,,,,,,,2500000,01/01/1941,14,192369567,,7.8,,,,,"Re-issue: 1985, 1990, 2000",,http://www.imdb.com/title/tt0032455/business?ref_=tt_dt_bus,
Dinosaur,A,BV,,,,,,,,137748063,01/05/2000,172,191030460,,,38854851,,,3257,,,,
Thor,,,,,,,,,,181030624,01/05/2011,226,190543456,,,,,,,,,,
Dick Tracy,,BV,Touch Stone,Silver Screen Partners IV,,,,,,103738726,01/06/1990,130,189938500,,,22543911,,,2332,,,,
Dead Poets Society,,BV,Touch Stone,Silver Screen Partners IV,,,,,,95860116,01/02/1989,122,187493242,,,340456,,,8,,,,
Lincoln,,BV,Touch Stone,DreamWorks Pictures,20th Century Fox,Reliance Entertainment,Participant Media,The Kennedy/Marshall Company,Amblin Entertainment,182207973,01/09/2012,231,187271690,,7.4,944308,,,11,,,,
The Santa Clause 2,,BV,,,,,,,,139236327,01/01/2002,177,186988648,,,29008696,,,3350,,,,
Tron Legacy,,BV,,,,,,,,172062763,01/12/2010,219,186710695,,,44026211,,,3451,,,,
Captain America: The first Avenger,,,,,,,,,,176654505,01/07/2011,226,185971947,,,65058524,68520775,112,3715,,,,
Herbie Rides Again,L,Buena Vista,Walt Disney Prod.,,,,,,,38229000,01/06/1974,49,185557325,,5.6,,,,,,http://www.boxofficemojo.com/movies/?page=releases&id=herbiegoestomontecarlo.htm,,
The Proposal,,BV,Touch Stone,Mandeville Films,,,,,,163958031,01/06/2009,216,180791450,,,33627598,,,3056,,,,
Ant-Man,,BV,,,,,,,,180142995,01/07/2015,239,179527054,,,57225526,,,3856,,,,
The Help,,BV,Touch Stone,DreamWorks Pictures,Participant Media,Image Nation,Reliance Entertainment,1492 Pictures,,169708112,01/10/2011,226,178265434,,,26044590,,,2534,,,,
Mulan,A,BV,,,,,,,,120620254,01/06/1998,163,176000491,,7.5,22745143,,,2888,,,,
Bringing Down the House,,BV,Touch Stone,,,,,,,132716677,01/07/2003,184,171642572,,,31101026,,,2801,,,,
Sweet Home Alabama,,BV,Touch Stone,,,,,,,127223418,01/09/2002,181,167174383,,6.1,35648740,,,3293,,,,
Robin Hood,A,Buena Vista,Walt Disney Prod.,,,,,,,32056467,01/11/1973,46,166105577,,7.6,,,,,,,http://www.imdb.com/title/tt0070608/business?ref_=tt_dt_bus,
Chicken Little,,BV,,,,,,,,135386665,01/04/2005,195,165468107,,,40049778,,,3654,,,,
"Lt. Robin Crusoe, U.S.N.",L,,Walt Disney Prod.,,,,,,,22565634,01/07/1966,33,165137393,,6,,,,,,,,http://www.the-numbers.com/movie/Lt-Robin-Crusoe-U-S-N#tab=box-office
Splash,,Buena Vista,Touchstone,,,,,,,69821334,01/03/1984,102,163125407,,6.2,6174059,,,829,,,,
The Fox and the Hound,A,Buena Vista,Walt Disney Pictures,,,,,,,43899231,01/07/1981,92,162075931,,7.3,,,,,Re-issue: 1988,,http://www.imdb.com/title/tt0082406/business?ref_=tt_dt_bus,
Enemy of the State,,BV,Touch Stone,Jerry Bruckheimer Films,,,,,,111549836,01/11/1998,164,161773109,,,20038573,,,2393,,,,
The Apple Dumpling Gang,L,Buena Vista,Walt Disney Prod.,,,,,,,36853000,01/07/1975,54,161716676,,6.3,,,,,,,,
Swiss Family Robinson,L,Buena Vista,Walt Disney Prod.,,,,,,,20178000,01/12/1960,30,161043462,,7.2,,,,,,,,http://www.imdb.com/title/tt0054357/business?ref_=tt_dt_bus
Phenomenon,,BV,Touch Stone,,,,,,,104636382,01/05/1996,157,159019219,,6.4,16158901,,,1637,,,,
Remember the Titans,,BV,,,,,,,,115654751,01/09/2000,174,158359785,,7.8,20905831,,,1865,,,,
Cocktail,,Buena Vista Pics.,Touchstone,Silver Screen Partners III,Interscope Communications,,,,,78222753,01/07/1988,119,156998676,,5.8,11789466,,,1404,,,,
George of the Jungle,L,BV,,,,,,,,105263257,01/07/1997,161,155985062,,,16540791,,,2506,,,,
Ruthless People,,BV,Touchstone,Silver Screen Partners II,,,,,,71624879,01/06/1986,110,155571854,,6.8,5274306,,,1111,,,,
The Chronicles of Narnia: Prince Caspian,,BV,,,,,,,,141621490,01/05/2008,217,155484748,,,55034805,,,3929,,,,
"20,000 Leagues Under the Sea",L,,Disney,,,,,,,17440000,01/12/1954,27,155351862,,7.2,,,,,,,http://www.imdb.com/title/tt0046672/business?ref_=tt_dt_bus,
Father of the Bride,,BV,Touch Stone,Touchwood Pacific Partners and Sandollar Productions,,,,,,89325780,01/12/1991,138,154061384,,,7031146,,,1561,,,,
Pinocchio,A,,Disney,,,,,,,3600000,01/02/1940,14,152819458,,7.5,,,,,"Re-issue: 1984, 1992",,http://www.imdb.com/title/tt0032910/business?ref_=tt_dt_bus,
A Christmas Carol (2009),,BV,,,,,,,,137855863,01/06/2009,216,152009396,,,30051075,,,3683,,,,
The Hunchback of Notre Dame,A,BV,,,,,,,,100138851,01/06/1996,157,151989943,,,21037414,,,2778,,,,
Song of the South,H,,,,,,,,,5060000,01/12/1946,22,150551872,,7.4,,,,,"Re-issue: 1980, 1986",,,
Con Air,,BV,Touch Stone,Jerry Bruckheimer Films,,,,,,101117573,01/06/1997,160,150028704,,,24131738,,,2824,,,,
Blackbeard's Ghost,L,,Walt Disney Prod.,,,,,,,21540050,01/02/1968,34,149796562,,6.8,,,,,,,http://www.imdb.com/title/tt0062737/?ref_=fn_al_tt_1,http://www.the-numbers.com/search?searchterm=blackbeard
The Hand That Rocks the Cradle,,BV,,,,,,,,88036683,01/10/1992,142,147661979,,,7675016,,,766,,,,
Pete's Dragon,H,Buena Vista,Walt Disney Prod.,,,,,,,36000000,01/11/1977,62,147609592,,6.3,,,,,Re-issue: 1977,,http://www.imdb.com/title/tt0076538/business?ref_=tt_dt_bus,
Hercules,A,BV,,,,,,,,99112101,01/06/1997,160,147053175,,,21454451,,,1,,,,
The Princess Diaries,,BV,,,,,,,,108248956,01/03/2001,176,146116431,,,22862269,,,2537,,,,
Enchanted,,BV,,,,,,,,127807262,01/11/2007,210,144627736,,,34440317,,,3730,,,,
The Village,,BV,Touch Stone,Scott Rudin Productions,,,,,,114197520,01/07/2004,189,143402903,,,50746142,,,3730,,,,
Freaky Friday,,BV,,,,,,,,110230332,01/06/2003,184,142716177,,,22203007,,,2954,,,,
Crimson Tide,,BV,,,,,,,,91387195,01/12/1995,154,141598356,,,18612190,,,2382,,,,
Gone in 60 Seconds,,BV,Touch Stone,Jerry Bruckheimer Films,,,,,,101648571,01/09/2000,174,139181882,,,25336048,,,3006,,,,
Inspector Gadget,L,BV,,,,,,,,97403112,01/07/1999,167,138969174,,4.1,21889138,,,2814,,,,
