Film,Type,Distributor/Studio,Prod 1,Prod 2,Prod 3,Prod 4,Prod 5,Prod 6,,Gross (dom.) $,Date,CPI at,today,CPI Oct. 2015,IMDB,Open wkd,OP Wk (Real),Days avail.,Theatres (peak),Notes,Link,,
Mr. Magoo,L,BV,,,,,,,,21437192,01/12/1997,161,31609292,,3.8,5233631,,,1857,,,,
Color of Night,,BV,,,,,,,,19726050,01/08/1994,149,31487277,,,6610488,,,1740,,,,
The Last flight of Noah's Ark,L,Buena Vista,Walt Disney Pictures,,,,,,,11000000,01/07/1980,83,31407179,,5.7,,,,,,,,
Delivery Man,,BV,Touch Stone,DreamWorks Pictures,Reliance Entertainment,,,,,30664106,01/11/2013,233,31291547,,,7944977,,,3036,,,,
Dark Water,,BV,Touch Stone,,,,,,,25473352,01/08/2005,196,30847918,,,9939251,,,2657,,,,
Around the World in 80 Days,,BV,,,,,,,,24008137,01/06/2004,190,30100407,,,7576132,,,2801,,,,
Ice Princess,,BV,,,,,,,,24402491,01/03/2005,193,30025037,,6,6807471,,,2501,,,,
The Life Aquatic with Steve Zissou,,BV,Touch Stone,American Empirical Pictures,Scott Rudin Productions,,,,,24020403,01/10/2004,191,29926478,,,113085,,,2,,,,
Chimpanzee,,,Disneynature,,,,,,,28972764,01/04/2012,231,29849791,,7.2,10673748,,112,1567,,,,
One Magic Christmas,L,Buena Vista,Walt Disney Pictures,Silver Screen Partners II,Telefilm Canada,,,,,13677222,01/11/1985,109,29843698,,6.7,2662241,,,827,,,,
Piglet's Big Movie,,DisneyToon Studios,Buena Vista,,,,,,,23103423,01/03/2003,184,29831009,,6,6097758,,70,2084,,,,
Born Yesterday,,BV,,,,,,,,17952857,01/03/1993,144,29734482,,,5911343,,,1297,,,,
Gone Fishin',,BV,,,,,,,,19745922,01/05/1997,160,29333733,,,5784123,,,1841,,,,
Mafia!,,BV,,,,,,,,19889299,01/07/1998,163,28985485,,,6577961,,,1942,,,,
Kazaam,,BV,Touch Stone,Interscope Communications and ,PolyGram Filmed Entertainment,,,,,18937262,01/07/1996,157,28687901,,2.8,5001588,,,2012,,,,
Spaced Invaders,,BV,Touch Stone,Silver Screen Partners IV,,,,,,15369573,01/04/1990,129,28358949,,5.3,4474336,,,1821,,,,
Winnie the Pooh,,BV,,,,,,,,26692846,01/07/2011,226,28100730,,,7857076,,,2405,,,,
The Alamo (2004),,BV,,,,,,,,22414961,01/09/2004,190,28073352,,,9124701,,,2609,,,,
Doug's First Movie,A,Buena Vista,Disney TV/Jumbo Pics./Walt Disney Pics.,,,,,,,19440089,01/03/1999,165,28021769,,5,4470489,,,2268,,,,
You Again,,BV,Touch Stone,Frontier Pictures,,,,,,25702053,01/09/2010,218,27984586,,,8407513,,,2548,,,,
Summer of Sam,,BV,Touch Stone,40 Acres & A Mule Filmworks,,,,,,19288130,01/02/1999,165,27887236,,6.6,5952452,,,1536,,,,
Heavyweights,L,BV,,,,,,,,17689177,01/02/1995,151,27880441,,,6062857,,,1953,,,,
Return to Snowy River,L,Buena Vista,Walt Disney Pictures,Silver Screen Partners III,Burrowes Film,Hoyts Film,,,,13687027,01/04/1988,117,27799275,,6.5,3023248,,,1121,,,,
The Big Green,L,BV,,,,,,,,17736619,01/09/1995,153,27535522,,,4688285,,,2072,,,,
Billy Bathgate,,BV,Touch Stone,Touchwood Pacific Partners,,,,,,15565363,01/01/1991,135,27503973,,,4051590,,,912,,,,
Stay Alive,,BV,,,,,,,,23086480,01/03/2006,200,27481693,,,10726406,,,2009,,,,
Cold Creek Manor,,BV,Touch Stone,,,,,,,21386011,01/09/2003,185,27464396,,,8190574,,,2035,,,,
Mr. Destiny,,BV,Touch Stone,Silver Screen Partners IV,,,,,,15379253,01/12/1990,134,27337599,,6.3,2991605,,,727,,,,
Mr. 3000,,BV,Touch Stone,Dimension Films,Spyglass Entertainment,The Kennedy/Marshall Company,,,,21811187,01/09/2004,190,27317162,,,8679028,,,2736,,,,
That Darn Cat,L,BV,,,,,,,,18301610,01/02/1997,160,27273298,,,6424617,,,1891,,,,
A Lot Like Love,,BV,Touch Stone,Beacon Communications,,,,,,21845719,01/04/2005,195,26699600,,,7576593,,,2502,,,,
Shipwrecked,L,Buena Vista Pics.,Filmkameratene/Svensk Filmindustri/Walt Disney Pics.,,,,,,,15104156,01/03/1991,135,26609943,,,3871766,,,1393,,,,
Simon Birch,,BV,,,,,,,,18253415,01/11/1998,164,26471681,,,3321370,,,596,,,,
Terminal Velocity,,BV,,,,,,,,16487349,01/09/1994,149,26247109,,,5500404,,,1794,,,,
D.O.A.,,BV,Touchstone,Silver Screen Partners III,Bigelow Productions,,,,,12706478,01/03/1988,117,25940629,,,3751432,,,875,,,,
Tuck Everlasting,,BV,,,,,,,,19161999,01/11/2002,181,25137626,,,5268764,,,1185,,,,
Rushmore,,BV,Touch Stone,American Empirical Pictures,,,,,,17105219,01/11/1998,164,24806531,,7.7,43666,,,2,,,,
Return to Oz,,Buena Vista,Walt Disney Pictures,Silver Screen Partners II,,,,,,11137801,01/06/1985,108,24618888,,6.7,2844895,,,1238,,,,
Indian Summer,,BV,Touch Stone,Outlaw Productions,,,,,,14904910,01/04/1993,144,24617736,,6.4,3368711,,,1047,,,,
Ernest Scared Stupid,,BV,Touch Stone,Touchwood Pacific Partners,,,,,,14143280,01/11/1991,138,24410809,,,4453132,,,1782,,,,
Mad Love,,BV,Touch Stone,Polygram Filmed Entertainment,,,,,,15453274,01/05/1995,152,24148330,,5.2,6820171,,,1500,,,,
The Invisible,,BV,,,,,,,,20578909,01/04/2007,207,23680591,,,7717309,,,2019,,,,
Million Dollar Duck,L,Buena Vista,Walt Disney Prod.,,,,,,,4000000,01/06/1971,41,23432315,,5.7,,,,,,,,http://www.the-numbers.com/search?searchterm=million+dollar+duck
Max Keeble's Big Move,,BV,,,,,,,,17294293,01/05/2001,178,23147102,,5.3,5377958,,,2014,,,,
Rocket Man,L,BV,,,,,,,,15448043,01/10/1997,162,22735963,,,4472937,,,1836,,,,
crazy/beautiful,,BV,Touch Stone,,,,,,,16937988,01/06/2001,178,22632007,,,4715060,,,1601,,,,
Mars Needs Moms,,BV,,,,,,,,21392758,01/11/2011,226,22490434,,5.4,6914488,,,3117,,,,
Pooh's Heffalump Movie,,DisneyToon Studios,Buena Vista,,,,,,,18098433,01/02/2005,192,22442623,,6.4,5805559,,63,2529,,,,
The Country Bears,,BV,,,,,,,,16990825,01/07/2002,180,22437889,,,5309675,,,2553,,,,
Gross Anatomy,,BV,Touch Stone,Silver Screen Partners IV,Sandollar Productions,Hill/Roseman,,,,11604598,01/10/1989,126,21974637,,,2830387,,,853,,,,
Ghosts of the Abyss (IMAX & 35mm),,BV,,,,,,,,17040871,01/11/2003,185,21967299,,,1408474,,,97,,,,
The 6th Man,,BV,Touch Stone,,,,,,,14772788,01/03/1997,160,21959565,,,4128178,,,1227,,,,
The Marrying Man,,BV,,,,,,,,12454768,01/05/1991,136,21845259,,,4030749,,,1340,,,,
Country,,Buena Vista,Touchstone,Far West and Panagea,,,,,,9640000,01/09/1984,105,21835794,,,24443,,,1,,,,
Fire Birds,,BV,Touch Stone,Silver Screen Partners IV,,,,,,14760451,01/05/1998,163,21563858,,,6358761,,,2006,,,,
Jonas Brother: 3D Concert Experience,,Disney Channel,,,,,,,,19162740,01/02/2009,212,21478690,,2.1,12510374,,35,1276,,,,
Far Off Place,L,RKO Radio Pictures,Walt Disney Pics./Amblin Ent./Touchwood Pacific Part. 1,,,,,,,12890752,01/03/1993,144,21350353,,6.6,3522836,,,1622,,,,
The Journey of Natty Gann,L,Buena Vista,Walt Disney Pictures,Silver Screen Partners II,,,,,,9708373,01/09/1985,108,21320591,,7,490318,,,362,,,,
Nixon,,BV,,,,,,,,13681765,01/12/1995,154,21198981,,,2206506,,,514,,,,
Oceans,,Disneynature/Walt Disney Studios,,,,,,,,19422319,01/04/2010,218,21188875,,7.8,6058958,,85,1232,,,,
A Far Off Place,,BV,,,,,,,,12890752,01/12/1993,146,21028194,,,3522836,,,1610,,,,
New York Stories,,BV,Touch Stone,Silver Screen Partners IV,American Zoetrope,,,,,10763469,01/03/1989,122,20931823,,6.4,432337,,,12,,,,
A Kid in King Arthur's Court,L,Buena Vista Pics.,Trimark Picturs/Walt Disney Pics.,,,,,,,13406717,01/08/1995,153,20854328,,,4315310,,,1862,,,,
A Stranger Among Us,,BV,,,,,,,,12282994,01/07/1992,141,20792617,,,2886082,,,679,,,,
Life with Mikey,,BV,Touch Stone,,,,,,,12440858,01/04/1993,144,20547978,,5.5,3606279,,,1366,,,,
Annapolis,,BV,Touch Stone,,,,,,,17127992,01/01/2006,198,20543053,,,7681171,,,1605,,,,
Something Wicked This Way Comes,L,Buena Vista,Walt Disney Pictures,,,,,,,8400000,01/04/1983,99,20262061,,6.8,2423555,,,817,,,,
Pollyanna,L,Buena Vista,Walt Disney Prod.,,,,,,,2500000,01/05/1960,30,20155763,,7.3,,,,,figures from wikipedia,,,
Night Crossing,L,Buena Vista,Walt Disney Prod./Bavaria Film,,,,,,,8000000,01/02/1982,95,20113150,,6.4,1547912,,,,,,,
The Secret World of Arrietty,,BV,,,,,,,,19202743,01/02/2012,228,20060976,,,6446395,,,1522,,,,
One Good Cop,,BV,,,,,,,,11276846,01/03/1991,135,19867130,,,3360277,,,1353,,,,
Mr. Wrong,,BV,Touch Stone,Merchant Ivory Productions,,,,,,12825141,01/02/1996,155,19692097,,3.7,5106797,,,1487,,,,
V.I. Warshawski,,BV,,,,,,,,11128309,01/07/1991,136,19432707,,,3603338,,,1133,,,,
The Associate,,BV,,,,,,,,12844057,01/10/1996,158,19297567,,,4261304,,,1781,,,,
Fright Night (2011),,BV,,,,,,,,18302607,01/08/2011,227,19214970,,,7714388,,,3114,,,,
Davy Crockett: King of the Wild Frontier,L,,Disney,,,,,,,2150000,01/05/1955,27,19151749,,7.1,,,,,Wikipedia,,http://www.imdb.com/title/tt0047977/?ref_=fn_al_tt_1,
Roommates,,BV,,,,,,,,12096881,01/03/1995,151,19003289,,,4038033,,,1262,,,,
Out Cold,,BV,Touch Stone,Spyglass Entertainment,Donner's Company,,,,,13906394,01/11/2001,177,18644132,,6.3,4531665,,,2011,,,,
Swing Vote,,BV,Touch Stone,Tree House Films,,,,,,16289867,01/01/2008,211,18354886,,6.1,6230669,,,2213,,,,
The Greatest Game Ever Played,,BV,,,,,,,,15337393,01/09/2005,199,18349169,,,3657322,,,1014,,,,
The Ref,,BV,Touch Stone,Don Simpson Productions & Jerry Bruckheimer Films,,,,,,11439193,01/09/1994,149,18210675,,,3044097,,,701,,,,
Tex,L,Buena Vista,Walt Disney Pictures,,,,,,,7400000,01/07/1982,98,18051294,,6.6,,,,,,,,
The Crew,,BV,Touch Stone,,,,,,,13023075,01/08/2000,173,17924665,,,4051921,,,1510,,,,
I'll Be Home for Christmas,L,BV,,,,,,,,12214338,01/11/1998,164,17713620,,5.3,3898293,,,1759,,,,
Holy Man,,BV,Touch Stone,Caravan Pictures,,,,,,12069719,01/09/1998,164,17546686,,,5106919,,,2013,,,,
25th Hour,,BV,Touch Stone,40 Acres & A Mule Filmworks,,,,,,13084595,01/12/2002,181,17202951,,7.7,108865,,,5,,,,
Scenes From a Mall,,BV,Touch Stone,Silver Screen Partners IV,,,,,,9563393,01/02/1991,135,16873429,,5.3,3825068,,,1039,,,,
Camp Nowhere,,BV,,,,,,,,10475705,01/08/1994,149,16721616,,,2755661,,,1358,,,,
Ponyo,,BV,,,,,,,,15090399,01/08/2009,216,16628846,,,3585852,,,927,,,,
Deep Rising,,BV,,,,,,,,11203026,01/01/1998,162,16488275,,,4737793,,,1758,,,,
Monkey Kingdom,,Disneynature,Buena Vista,,,,,,,16432322,01/04/2015,238,16434602,,7.3,4577861,,98,2012,,,,
African Cats,,Buena Vista Pics.,Disneynature,,,,,,,15428747,01/04/2011,225,16315893,,7.6,6003200,,84,1224,,http://www.boxofficemojo.com/movies/?id=africancats.htm,http://www.imdb.com/title/tt1223236/?ref_=fn_al_tt_1,
The Scarlet Letter,,BV,,,,,,,,10382407,01/10/1995,154,16065914,,,4119086,,,1510,,,,
White Squall,,BV,,,,,,,,10292300,01/02/1996,155,15803099,,,3908514,,,1524,,,,
Cheetah,L,Buena Vista,Silver Screen Part. III/ Walt Disney Pics.,,,,,,,8153677,01/08/1989,125,15563838,,6.1,2636118,,,1321,,,,
Angie,,BV,,,,,,,,9398308,01/04/1994,147,15164686,,,2779640,,,808,,,,
Disorganized Crime,,BV,Touch Stone,Silver Screen Partners IV,Kouf/Bigelow Productions,,,,,7723506,01/04/1989,123,14922366,,,2840166,,,1462,,,,
The Watcher in the Woods,L,Buena Vista,Walt Disney Pictures,,,,,,,5000000,01/04/1980,81,14681358,,6.5,,,,,,,,
The Inkwell,,BV,Touch Stone,,,,,,,8880705,01/04/1994,147,14329506,,,2358988,,,390,,,,
White Fang 2: Myth of the White Wolf,L,Buena Vista Pics.,Walt Disney Pics.,,,,,,,8878839,01/04/1994,147,14326495,,5.3,2692624,,,1877,,,,
Celtic Pride,,BV,,,,,,,,9255027,01/04/1996,156,14083155,,,3809248,,,1832,,,,
The Puppet Masters,,BV,,,,,,,,8647042,01/10/1994,150,13756489,,,4069057,,,1481,,,,
Casanova,,BV,Touch Stone,,,,,,,11304403,01/12/2005,197,13661670,,,119276,,,37,,,,
Sorority Boys,,BV,Touch Stone,MBST Entertainment,,,,,,10200032,01/03/2002,179,13567982,,5.4,4127903,,,1801,,,,
Before and After,,BV,,,,,,,,8797839,01/02/1996,155,13508460,,,4023815,,,1313,,,,
Aspen Extreme,,BV,,,,,,,,8041049,01/01/1993,143,13411410,,,3342613,,,1455,,,,
Spirited Away,,BV,,,,,,,,10055859,01/09/2002,181,13213621,,,449839,,,26,,,,
People Like Us,,BV,Touch Stone,DreamWorks Pictures,Reliance Entertainment,K/O Paper Products,,,,12434778,01/11/2012,227,13051756,,7.1,4255423,,,2055,,,,
Tall Tale,L,Buena Vista Pics.,Caraven/Walt Disney Pics.,,,,,,,8247627,01/03/1995,151,12956401,,5.8,3046181,,,2065,,,,
The Rich Man's Wife,,BV,,,,,,,,8543587,01/09/1996,158,12876994,,,3132151,,,1006,,,,
"Mystery, Alaska",,BV,,,,,,,,8891623,01/01/1999,164,12871368,,,3102191,,,1673,,,,
Wild Hearts Can't Be Broken,L,Buena Vista,Walt Disney Pics./Silver Screen Part. IV/Pegasus Ent.,,,,,,,7294835,01/05/1991,136,12794904,,7.2,2710416,,,1662,,,,
Strange Magic,,BV,Touch Stone,Lucasfilm Ltd.,Lucasfilm Animation Singapore, Industrial Light & Magic,,,,12429583,01/01/2015,234,12649288,,5.7,5504441,,,3020,,,,
Roving Mars (IMAX),,BV,,,,,,,,10407978,01/01/2006,198,12483170,,,412337,,,27,,,,
Unstrung Heroes,,BV,,,,,,,,7929434,01/09/1995,153,12310187,,,185183,,,10,,,,
Sarafina!,,BV,,,,,,,,7306242,01/09/1992,141,12297962,,,76488,,,2,,,,
Shopgirl,,BV,Touch Stone,20th Century Fox,Hyde Park Entertainment,,,,,10284523,01/10/2005,199,12279369,,6.4,229685,,,8,,,,
Primeval,,BV,,,,,,,,10597734,01/12/2007,210,12000533,,,6048315,,,2444,,,,
Play It to the Bone,,BV,Touch Stone,,,,,,,8434146,01/12/1999,168,11918957,,5.4,3366,,,1,,,,
The Jerky Boys,,BV,,,,,,,,7557877,01/03/1995,151,11872856,,,4392403,,,1513,,,,
The Rescue,,BV,,,,,,,,5855392,01/05/1988,118,11852210,,,2194037,,,1275,,,,
A Thousand Acres,,BV,Touch Stone,Beacon Communications and PolyGram Filmed Entertainment,,,,,,7936780,01/09/1997,161,11710099,,,2931762,,,1208,,,,
Aliens of the Deep (IMAX),,BV,,,,,,,,8968684,01/01/2005,191,11185600,,,479368,,,27,,,,
Krippendorf's Tribe,,BV,Touch Stone,,,,,,,7571115,01/02/1998,162,11122291,,4.9,3316377,,,1529,,,,
Heartbreak Hotel,,BV,Touch Stone,Silver Screen Partners III,,,,,,5509417,01/09/1988,120,10937802,,,2063546,,,1338,,,,
Victory Through Air Power,H,,Disney,,,,,,,799000,01/07/1943,17,10921412,,6.9,,,,,,,,
Prom,,BV,,,,,,,,10130219,01/04/2011,225,10712702,,5.4,4712638,,,2730,,,,
Trenchcoat,L,Buena Vista,Walt Disney Pictures,,,,,,,4304286,01/03/1983,98,10456821,,5.3,2192621,,,723,,,,
Off Beat,,BV,Touchstone,Silver Screen Partners II,,,,,,4842778,01/11/1986,110,10432941,,4.9,2011192,,,1127,,,,
The Cemetary Club,,BV,,,,,,,,6011745,01/05/1993,144,9915544,,,56833,,,6,,,,
The Good Mother,,BV,,,,,,,,4764606,01/04/1988,117,9677236,,,1804288,,,667,,,,
Big Trouble,,BV,Touch Stone,,,,,,,7267307,01/05/2002,180,9613135,,,3545204,,,1961,,,,
Ed Wood,,BV,Touch Stone,,,,,,,5887457,01/09/1994,149,9372564,,,71566,,,2,,,,
Swing Kids,,BV,,,,,,,,5632086,01/05/1993,144,9289349,,,1967957,,,542,,,,
My Science Project,,BV,Touchstone,Silver Screen Partners II,,,,,,4122748,01/09/1985,108,9053981,,5.9,1504118,,,1003,,,,
Moonlight Mile,,BV,Touch Stone,,,,,,,6835856,01/09/2002,181,8982466,,6.7,329771,,,22,,,,
Last Dance,,BV,Touch Stone,,,,,,,5939449,01/03/1996,157,8980462,,5.8,2690253,,,1563,,,,
The Tie That Binds,,BV,,,,,,,,5772529,01/08/1995,153,8979246,,,2625339,,,1783,,,,
The Straight Story,L,BV,,,,,,,,6203044,01/10/1999,168,8771222,,,92312,,,7,,,,
Midnight Madness,L,Buena Vista,Walt Disney Pictures,,,,,,,2900000,01/02/1980,79,8741828,,6.5,,,,,,,,
The Young Black Stallion (IMAX),,BV,,,,,,,,6751389,01/12/2003,184,8712625,,,629999,,,51,,,,
Miracle at St. Anna,,BV,Touch Stone,40 Acres & A Mule Filmworks and Rai Cinema,,,,,,7919117,01/09/2008,219,8608836,,6,3477996,,,1185,,,,
Kundun,,BV,Touch Stone,,,,,,,5684789,01/12/1997,161,8382262,,7,72095,,,2,,,,
Teacher's Pet,,,,,,,,,,6491969,01/01/2004,185,8337132,,5.8,2461252,,84,2027,,,,
Miami Rhapsody,,BV,,,,,,,,5221281,01/01/1995,150,8262269,,,71421,,,2,,,,
True Identity,,BV,Touch Stone,Silver Screen Partners IV,,,,,,4693236,01/08/1991,137,8171522,,,1541581,,,824,,,,
Run,,BV,,,,,,,,4409328,01/01/1991,135,7791276,,,2222056,,,1173,,,,
Bound by Honor,,BV,,,,,,,,4496583,01/04/1993,144,7426794,,,1002548,,,391,,,,
Running Brave,L,BV,,,,,,,,3000000,01/04/1983,99,7236450,,6.8,441145,,,234,,,,
Passed Away,,BV,,,,,,,,4030793,01/04/1992,140,6872228,,,1506887,,,582,,,,
Bubble Boy,,BV,Touch Stone,,,,,,,5007898,01/08/2001,178,6710245,,,2038349,,,1605,,,,
Duets,,BV,,,,,,,,4739023,01/09/2000,174,6488887,,,2002588,,,581,,,,
Mumford,,BV,Touch Stone,,,,,,,4555459,01/09/1999,168,6453015,,6.9,1851291,,,1452,,,,
Just Visiting,,BV,,,,,,,,4781539,01/06/2001,178,6388942,,,2272489,,,1590,,,,
Meet the Deedles,L,BV,,,,,,,,4356216,01/03/1998,162,6387631,,3.9,2006751,,,1763,,,,
The Gun in Betty Lou's Handbag,,BV,Touch Stone,Interscope Communications,,,,,,3721911,01/08/1992,141,6282554,,,1206799,,,693,,,,
Playing God,,BV,Touch Stone,Beacon Communications,,,,,,4166918,01/10/1997,162,6132744,,5.6,1937374,,,1479,,,,
Cabin Boy,,BV,Touch Stone,,,,,,,3662459,01/07/1994,148,5869757,,,1513507,,,593,,,,
Bad Company (1995),,BV,,,,,,,,3674841,01/01/1995,150,5815149,,,1459824,,,302,,,,
Howl's Moving Castle,,BV,,,,,,,,4711096,01/10/2005,199,5624888,,,427987,,,36,,,,
Father Hood,,BV,,,,,,,,3418141,01/08/1993,145,5614391,,,1286806,,,643,,,,
A Simple Twist of Fate,,BV,Touch Stone,,,,,,,3430583,01/02/1994,147,5561847,,,1404904,,,319,,,,
ESPN's Ultimate X (IMAX),,BV,,,,,,,,4197492,01/10/2002,181,5506471,,,613670,,,47,,,,
My Boyfriend's Back,,BV,Touch Stone,,,,,,,3335984,01/06/1993,144,5494624,,5.3,1465476,,,1165,,,,
Squanto: A Warrior's Tale,L,Buena Vista Pics.,Walt Disney Pictures,,,,,,,3342223,01/10/1994,150,5317108,,6.1,1119016,,,1022,,,,
The Wind Rises,,BV,Touch Stone,Studio Ghibli,The Kennedy/Marshall Company,,,,,5209580,01/02/2014,235,5277412,,,313751,,,21,,,,
Blame It On the Bellboy,,BV,,,,,,,,3104545,01/06/1992,140,5266610,,,1326472,,,462,,,,
Goal! The Dream Begins,,BV,Touch Stone,Lawrence Bender Productions,,,,,,4283255,01/12/2006,202,5048170,,,1921838,,,1007,,,,
Newsies,L,Buena Vista Pics.,Touchwood Pacific Part. 1/Walt Disney Pics.,,,,,,,2819485,01/04/1992,140,4807030,,6.9,1232508,,,1259,,,,
Cradle Will Rock,,BV,Touch Stone,,,,,,,2903404,01/10/1999,168,4105468,,,93998,,,8,,,,
Noises Off,,BV,Touch Stone,Touchwood Pacific Partners,Amblin Entertainment,,,,,2280148,01/03/1992,139,3893079,,,981452,,,451,,,,
Jefferson in Paris,,BV,Touch Stone,Merchant Ivory Productions,,,,,,2473668,01/03/1995,151,3885946,,5.7,61349,,,2,,,,
Shadow Conspiracy,,BV,,,,,,,,2312463,01/01/1997,159,3456892,,,1370831,,,837,,,,
The Fifth Estate,,BV,Touch Stone,DreamWorks Pictures,Reliance Entertainment,Participant Media,Anonymous Content,,,3255008,01/10/2013,234,3314827,,,1673351,,,1769,,,,
Washington Square,,BV,,,,,,,,1851761,01/05/1997,160,2750900,,,14352,,,1,,,,
Herbie Goes Bananas (Re-issue),,BV,,,,,,,,1000000,01/12/1981,94,2530191,,,N/A,,,N/A,,,,
Gun Shy,,BV,,,,,,,,1638202,01/04/2000,171,2274528,,,703109,,,296,,,,
Where the Heart Is (1990),,BV,,,,,,,,1106475,01/02/1990,122,2164160,,,530893,,,235,,,,
Veronica Guerin,,BV,Touch Stone,Jerry Bruckheimer Films,,,,,,1571504,01/10/2003,185,2020343,,,611276,,,472,,,,
Two Much,,BV,Touch Stone,Interscope Communications,Polygram Filmed Entertainment,,,,,1141556,01/03/1996,156,1743773,,,592871,,,348,,,,
Money For Nothing,,BV,,,,,,,,1039824,01/10/1993,146,1697390,,,491206,,,449,,,,
X Games 3D The Movie,,BV,,,,,,,,1391434,01/08/2009,216,1533289,,,837216,,,1399,,,,
Sacred Planet (IMAX),,BV,,,,,,,,1108356,01/04/2004,188,1402176,,,N/A,,,18,,,,
Firelight,,BV,,,,,,,,785482,01/04/1998,163,1149646,,,135401,,,10,,,,
Holy Matrimony,,BV,,,,,,,,713234,01/08/1994,149,1138484,,,N/A,,,N/A,,,,
Prefontaine,,BV,,,,,,,,589304,01/01/1997,159,880948,,,311253,,,201,,,,
Funny Bones,,BV,,,,,,,,532268,01/03/1995,151,836153,,,26946,,,14,,,,
Crossing the Bridge,,BV,Touch Stone,,,,,,,479676,01/11/1992,142,803417,,,243695,,,235,,,,
Boys,,BV,Touch Stone,Interscope Communications,PolyGram Filmed Entertainment,,,,,516349,01/10/1996,158,775789,,,270107,,,328,,,,
The Last Shot,,BV,Touch Stone,MBST Entertainment,,,,,,464275,01/09/2004,190,581476,,,164801,,,35,,,,
A Pyromaniac's Love Story,,BV,Hollywood Pics,,,,,,,345972,01/04/1995,152,541707,,5.4,268932,,,379,,,,
Feast of July,,BV,Touch Stone,Merchant Ivory Productions,,,,,,293274,01/10/1995,154,453817,,,22818,,,4,,,,
America's Heart and Soul,,BV,,,,,,,,314402,01/02/2004,186,401594,,,134939,,,98,,,,
High Heels and Low Lifes,,BV,Touch Stone,,,,,,,228194,01/10/2001,178,305420,,,113512,,,175,,,,
Morning Light,,BV,,,,,,,,275497,01/10/2008,217,302548,,5.9,129295,,,55,,,,
Breakfast of Champions,,BV,,,,,,,,178278,01/09/1999,168,252539,,,42326,,,7,,,,
Endurance,,BV,,,,,,,,137124,01/04/1999,166,196229,,,14339,,,4,,,,
It's Pat,,BV,Touch Stone,,,,,,,60822,01/08/1994,149,97086,,2.7,31370,,,33,,,,
Waking Sleeping Beauty,,BV,,,,,,,,80741,01/03/2010,218,88238,,,33115,,,5,,,,
An Alan Smithee Film: Burn Hollywood Burn,,BV,,,,,,,,45779,01/02/1998,162,67251,,,28992,,,19,,,,
The War at Home,,BV,Touch Stone,,,,,,,44722,01/11/1996,159,67066,,,15040,,,4,,,,
The Boys: The Sherman Brothers' Story,,BV,,,,,,,,55513,01/05/2009,214,61738,,,14632,,,5,,,,
A Personal Journey with Martin Scorsese Through American Movies,,BV,,,,,,,,39075,01/06/1998,163,57015,,,10350,,,1,,,,
Tales from Earthsea,,BV,,,,,,,,48461,01/08/2010,218,52795,,,20614,,,5,,,,
Walt & El Grupo,,BV,,,,,,,,20521,01/09/2009,216,22599,,,6059,,,3,,,,
Academy Award review of Walt Disney Cartoons,A,United Artists,Walt Disney Prod.,,,,,,,,01/05/1937,14,0,,7.5,,,,,,,,
Make Mine Music,A,,Disney,,,,,,,,01/04/1946,18,0,,6.5,,,,,,,,
Reluctant Dragon,H,,Disney,,,,,,,,01/06/1941,15,0,,7,,,,,,,,
Saludos Amigos,H,,Disney,,,,,,,,01/02/1943,17,0,,6.3,,,,,,,,
Three Caballeros,H,,Disney,,,,,,,,01/02/1945,18,0,,6.6,,,,,,,,
Adventure of Ichabod and Mr Toad,A,,Disney,,,,,,,,01/10/1949,,,,7.2,,,,,,,,
Adventures of Bullwhip Griffin,L,,,,,,,,,,01/03/1967,,,,6.7,,,,,,,,
African Lion,N,,Disney,,,,,,,,01/09/1955,,,,7.5,,,,,,,http://www.imdb.com/title/tt0047803/?ref_=fn_al_tt_1,
Almost Angels (AKA Born to Sing),L,,Walt Disney Prod.,,,,,,,,01/09/1962,,,,7,,,,,,,,
Amy,L,Anchor Bay,Walt Disney Pictures,,,,,,,,01/03/1981,,,,6.7,,,,,,,,
Barefoot Executive,L,Buena Vista,Walt Disney Prod.,,,,,,,,01/03/1971,,,,5.9,,,,,,,,
Bears and I,L,Buena Vista,Walt Disney Prod.,,,,,,,,01/07/1974,,,,5.9,,,,,,,,
Big Red,L,,Cangary/Walt Disney Prod.,,,,,,,,01/06/1962,,,,6.2,,,,,,,,
Biscuit Eater,L,Buena Vista,Walt Disney Prod.,,,,,,,,01/03/1972,,,,5.9,,,,,,,,
Candleshoe,L,Buena Vista,Walt Disney Prod.,,,,,,,,01/12/1977,,,,6.7,,,,,,,,
Castaway Cowboy,L,Buena Vista,Walt Disney Prod.,,,,,,,,01/08/1974,,,,6,,,,,,,,
Cat from Outer Space,L,Buena Vista,Walt Disney Prod.,,,,,,,,01/06/1978,,,,5.9,,,,,,,,
Charley and the Angel,L,Buena Vista,Walt Disney Prod.,,,,,,,,01/03/1973,,,,6.2,,,,,,,,
"Charlie, the Lonesome Cougar",L,,Walt Disney Prod.,,,,,,,,01/10/1967,,,,6.7,,,,,,,,
Computer Wore Tennis Shoes,L,Buena Vista,Walt Disney Prod.,,,,,,,,01/12/1969,,,,6,,,,,,,,
Condorman,L,Buena Vista,Walt Disney Pictures,,,,,,,,01/08/1981,,,,5.7,,,,,,,,
Darby O'Gill and the Little People,L,,Disney,,,,,,,,01/06/1959,,,,7.2,,,,,,,,
